,Date,Type,Country,Area,Location,Activity,Sex,Age,Fatal (Y/N),Time,Species,original order
0,2017-06-11,Unprovoked,AUSTRALIA,Western Australia,"Point Casuarina, Bunbury",Body boarding,M,48,N,08h30,"White shark, 4 m",6095
1,2017-06-10,Unprovoked,AUSTRALIA,Victoria,"Flinders, Mornington Penisula",Surfing,F,-1,N,15h45,7 gill shark,6094
2,2017-06-10,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,19,N,10h00,Other,6093
3,2017-06-07,Unprovoked,UNITED KINGDOM,South Devon,Bantham Beach,Surfing,M,30,N,Unknown,"3m shark, probably a smooth hound",6092
4,2017-06-04,Unprovoked,USA,Florida,"Middle Sambo Reef off Boca Chica, Monroe County",Spearfishing,M,-1,N,Unknown,8' shark,6091
5,2017-06-02,Unprovoked,BAHAMAS,New Providence,Athol Island,Snorkeling,F,32,N,12h00,Tiger shark,6090
6,2017-05-30,Provoked,USA,South Carolina,"Awendaw, Charleston County",Touching a shark,F,20,N,Unknown,3' shark,6089
7,2017-05-28,Unprovoked,USA,Florida,Off Jupiter,Feeding sharks,M,-1,N,Unknown,Tiger shark,6088
8,2017-05-27,Unknown,AUSTRALIA,New South Wales,Evans Head,Fishing,M,73,N,Unknown,Other,6087
9,2017-05-12,Unprovoked,UNITED ARAB EMIRATES,Sharjah,Khor Fakkan,Spearfishing,M,41,N,Unknown,Other,6086
10,2017-05-06,Provoked,AUSTRALIA,Queensland,Weipa,Attempting to lasso a shark,M,29,N,Unknown,9' shark,6085
11,2017-05-05,Unprovoked,MEXICO,Baja California Sur,"Los Arbolitos, Cabo Pulmo",Snorkeling,M,33,Y,17h00,Other,6084
12,2017-05-03,Invalid,USA,California,"Sunset Beach, Orange County",Surfing,F,18,N,14h30,Shark involvement highly doubtful,6083
13,2017-04-29,Unprovoked,USA,California,"San Onofre, San Diego County ",Unknown,F,-1,N,17h34,Other,6082
14,2017-04-29,Unprovoked,SOUTH AFRICA,Western Cape Province,"Keurbooms, Plettenberg Bay",Surfing,M,14,N,17h10,Other,6081
15,2017-04-29,Unprovoked,USA,South Carolina,"Folly Beach, Charleston County",Surfing,F,33,N,11h00,Other,6080
16,2017-04-29,Unprovoked,REUNION,Saint-Leu,Pointe au Sal,Body boarding,M,28,Y,11h15,Other,6079
17,2017-04-27,Unprovoked,NEW ZEALAND,South Island,"Porpoise Bay, Catlins",Body boarding,F,20,N,14h00,Other,6078
18,2017-04-26,Invalid,USA,Florida,Other,Photo shoot,F,-1,Unknown,Unknown,No shark invovlement - it ws a publicity stunt,6077
19,2017-04-22,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,English Bay,Snorkeling,F,40,N,16h00,Other,6076
20,2017-04-20,Invalid,USA,South Carolina,Georgetown County,Swimming,M,-1,N,08h50,Shark involvement not confirmed,6075
21,2017-04-17,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Unknown,Unknown,-1,N,Unknown,Other,6074
22,2017-04-17,Unprovoked,AUSTRALIA,Western Australia,Kelpies near Wylie Bay,Surfing,F,17,Y,16h00,White shark,6073
23,2017-04-14,Unprovoked,USA,Hawaii,"Kekaha Beach, Kauai",Surfing,M,28,N,09h00,"Tiger shark, 12'",6072
24,2017-04-13,Unprovoked,USA,Florida,"Hanna Park, Jacksonville, Duval County",Surfing,M,17,N,13h30,Other,6071
25,2017-04-12,Unprovoked,USA,Florida,St. Augustine,Surfing,F,-1,N,13h45,Other,6070
26,2017-04-12,Invalid,SOUTH AFRICA,KwaZulu-Natal,Protea Banks,Scuba Diving,M,68,Unknown,Unknown,Other,6069
27,2017-04-11,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",Surfing,F,35,N,16h00,Other,6068
28,2017-04-10,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Paddle boarding,F,10,N,17h45,Other,6067
29,2017-04-10,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Swimming,F,21,N,17h00,Other,6066
30,2017-04-06,Unprovoked,USA,Florida,"Daytona, Volusia County",Swimming,M,16,N,Unknown,Other,6065
31,2017-04-05,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,F,51,N,13h00,Other,6064
32,2017-04-02,Unprovoked,AUSTRALIA,Queensland,Moreton Bay,Kakaying,M,39,N,Unknown,Other,6063
33,2017-04-02,Unprovoked,USA,Florida,"Destin, Okaloosa County",Swimming,F,17,N,15h00,5' shark,6062
34,2017-03-27,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,58,N,10h00,Other,6061
35,2017-03-19,Unprovoked,AUSTRALIA,New South Wales,The Farm,Body boarding,M,30,N,18h30,Other,6060
36,2017-03-18,Unprovoked,USA,California,Monterey Bay,Kayaking,M,-1,N,14h30,White shark,6059
37,2017-03-09,Unprovoked,BAHAMAS,Great Exuma,Other,Washing hands,M,58,N,Unknown,Lemon shark,6058
38,2017-02-25,Unprovoked,AUSTRALIA,Western Australia,Mauds Point,Snorkeling,F,-1,N,Unknown,"Bull shark, 1.5",6057
39,2017-02-24,Unprovoked,AUSTRALIA,Western Australia,"Falcon Bay Beach, Mandurah",Surfing,M,-1,N,Unknown,Other,6056
40,2017-02-21,Unprovoked,REUNION,Saint-Andre,Other,Body boarding,M,26,Y,09h30,Other,6055
41,2017-02-17,Unprovoked,AUSTRALIA,Queensland,Eva Rock,Spearfishing,M,26,N,10h20,Other,6054
