,Date,Type,Country,Area,Location,Activity,Sex,Age,Fatal (Y/N),Time,Species,original order,Address
0,2017-06-11,Unprovoked,AUSTRALIA,Western Australia,"Point Casuarina, Bunbury",Body boarding,M,48,N,08h30,Great White,6095,"Point Casuarina, Bunbury, Western Australia, AUSTRALIA"
1,2017-06-10,Unprovoked,AUSTRALIA,Victoria,"Flinders, Mornington Penisula",Surfing,F,Unknown,N,15h45,Other,6094,"Flinders, Mornington Penisula, Victoria, AUSTRALIA"
2,2017-06-10,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,19,N,10h00,Other,6093,"Ponce Inlet, Volusia County, Florida, USA"
3,2017-06-07,Unprovoked,UNITED KINGDOM,South Devon,Bantham Beach,Surfing,M,30,N,Unknown,Other,6092,"Bantham Beach, South Devon, UNITED KINGDOM"
4,2017-06-04,Unprovoked,USA,Florida,"Middle Sambo Reef off Boca Chica, Monroe County",Spearfishing,M,Unknown,N,Unknown,Other,6091,"Middle Sambo Reef off Boca Chica, Monroe County, Florida, USA"
5,2017-06-02,Unprovoked,BAHAMAS,New Providence,Athol Island,Snorkeling,F,32,N,12h00,Other,6090,"Athol Island, New Providence, BAHAMAS"
6,2017-05-30,Provoked,USA,South Carolina,"Awendaw, Charleston County",Touching a shark,F,20,N,Unknown,Other,6089,"Awendaw, Charleston County, South Carolina, USA"
7,2017-05-28,Unprovoked,USA,Florida,Off Jupiter,Feeding sharks,M,Unknown,N,Unknown,Other,6088,"Off Jupiter, Florida, USA"
8,2017-05-27,Unknown,AUSTRALIA,New South Wales,Evans Head,Fishing,M,73,N,Unknown,Other,6087,"Evans Head, New South Wales, AUSTRALIA"
9,2017-05-12,Unprovoked,UNITED ARAB EMIRATES,Sharjah,Khor Fakkan,Spearfishing,M,41,N,Unknown,Other,6086,"Khor Fakkan, Sharjah, UNITED ARAB EMIRATES"
10,2017-05-06,Provoked,AUSTRALIA,Queensland,Weipa,Attempting to lasso a shark,M,29,N,Unknown,Other,6085,"Weipa, Queensland, AUSTRALIA"
11,2017-05-05,Unprovoked,MEXICO,Baja California Sur,"Los Arbolitos, Cabo Pulmo",Snorkeling,M,33,Y,17h00,Other,6084,"Los Arbolitos, Cabo Pulmo, Baja California Sur, MEXICO"
12,2017-05-03,Invalid,USA,California,"Sunset Beach, Orange County",Surfing,F,18,N,14h30,Other,6083,"Sunset Beach, Orange County, California, USA"
13,2017-04-29,Unprovoked,USA,California,"San Onofre, San Diego County ",Unknown,F,Unknown,N,17h34,Other,6082,"San Onofre, San Diego County , California, USA"
14,2017-04-29,Unprovoked,SOUTH AFRICA,Western Cape Province,"Keurbooms, Plettenberg Bay",Surfing,M,14,N,17h10,Other,6081,"Keurbooms, Plettenberg Bay, Western Cape Province, SOUTH AFRICA"
15,2017-04-29,Unprovoked,USA,South Carolina,"Folly Beach, Charleston County",Surfing,F,33,N,11h00,Other,6080,"Folly Beach, Charleston County, South Carolina, USA"
16,2017-04-29,Unprovoked,REUNION,Saint-Leu,Pointe au Sal,Body boarding,M,28,Y,11h15,Other,6079,"Pointe au Sal, Saint-Leu, REUNION"
17,2017-04-27,Unprovoked,NEW ZEALAND,South Island,"Porpoise Bay, Catlins",Body boarding,F,20,N,14h00,Other,6078,"Porpoise Bay, Catlins, South Island, NEW ZEALAND"
18,2017-04-26,Invalid,USA,Florida,Other,Photo shoot,F,Unknown,Unknown,Unknown,Other,6077,Unknown
19,2017-04-22,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,English Bay,Snorkeling,F,40,N,16h00,Other,6076,"English Bay, Ascension Island, ST HELENA, British overseas territory"
20,2017-04-20,Invalid,USA,South Carolina,Georgetown County,Swimming,M,Unknown,N,08h50,Other,6075,"Georgetown County, South Carolina, USA"
21,2017-04-17,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Unknown,Unknown,Unknown,N,Unknown,Other,6074,"Daytona Beach, Volusia County, Florida, USA"
